name,rank,industry,sector,headquarters_state,headquarters_city,market_value_mil,revenue_mil,profit_mil,asset_mil,employees,description
AmerisourceBergen,11,Wholesalers: Health Care,Health Care,PA,Conshohocken,32384,238587,1699,56561,41500,"AmerisourceBergen Corporation is an American pharmaceutical sourcing and distribution company. It is one of the largest pharmaceutical distributors in the United States, serving both healthcare providers and pharmaceutical manufacturers. The company's services include drug distribution, inventory management, consulting services, and various other solutions for the healthcare industry. AmerisourceBergen operates in multiple countries and is a key player in the healthcare supply chain."
Costco Wholesale,12,General Merchandisers,Retailing,WA,Issaquah,220354,226954,5844,64166,304000,"Costco Wholesale Corporation, commonly known as Costco, is an American multinational corporation that operates a chain of membership-only warehouse clubs. As of 2021, Costco was the fifth largest retailer in the world and the world's largest retailer of choice and prime beef, organic foods, rotisserie chicken, and wine. Costco was founded in 1983 in Seattle, Washington, by James Sinegal and Jeffrey Brotman. The company's business model relies on high sales volumes and quick inventory turnover, with members paying an annual fee for access to discounted prices on a wide range of products. Costco operates over 800 warehouse clubs worldwide, selling a variety of products including groceries, appliances, electronics, clothing, and more."
Microsoft,13,Computer Software,Technology,WA,Redmond,2146049,198270,72738,364840,221000,"Microsoft Corporation is an American multinational technology company that develops, manufactures, licenses, supports, and sells computer software, consumer electronics, personal computers, and related services. Founded by Bill Gates and Paul Allen on April 4, 1975, Microsoft is best known for its Windows operating systems and Office suite of productivity software. Microsoft has expanded its product line to include cloud computing services (Azure), video game consoles (Xbox), and hardware devices such as Surface tablets and laptops. Microsoft is one of the world's largest technology companies and is considered a major player in the tech industry."
Cardinal Health,14,Wholesalers: Health Care,Health Care,OH,Dublin,19452,181364,933,43878,46035,"Cardinal Health, Inc. is a multinational health care services company that specializes in the distribution of pharmaceuticals and medical products, providing innovative solutions to both healthcare providers and manufacturers to improve the efficiency and quality of healthcare. In addition to distribution services, Cardinal Health offers services such as medical product manufacturing, medication management and compliance, and consulting services to healthcare facilities. The company is committed to helping customers streamline their operations and enhance patient care."
Cigna,15,Health Care: Pharmacy and Other Services,Health Care,CT,Bloomfield,75901,180516,6668,143932,70231,"Cigna Corporation is an American multinational managed healthcare and insurance company. It is headquartered in the United States and offers a wide range of health insurance products and related services, including medical, dental, disability, life and accident insurance. Cigna also provides healthcare management services aimed at improving the health, well-being, and productivity of its customers. With a focus on quality and affordability, Cigna serves individuals, employers, healthcare professionals, and other groups around the world."
Marathon Petroleum,16,Petroleum Refining,Energy,OH,Findlay,59544,180012,14516,89904,17800,"Marathon Petroleum Corporation is an American petroleum refining, marketing, and transportation company. It was formed on July 1, 2011, as a result of a split from Marathon Oil. The company operates refineries in several locations across the United States and is involved in the refining, marketing, and transportation of petroleum products. Marathon Petroleum Corporation is one of the largest petroleum refining companies in the United States, with a strong presence in the industry."
Phillips 66,17,Petroleum Refining,Energy,TX,Houston,46727,175702,11024,76442,13000,"Phillips 66 is an American multinational energy company that was created as a result of the split of ConocoPhillips in 2012. It operates in the midstream, chemicals, refining, and marketing sectors. The company is involved in the processing, transportation, and marketing of oil and natural gas. Phillips 66 is headquartered in the United States and has a significant presence in the energy industry globally."
Valero Energy,18,Petroleum Refining,Energy,TX,San Antonio,51351,171189,11528,60982,9743,"Valero Energy Corporation is an American multinational energy company that is headquartered in San Antonio, Texas. It is one of the largest independent petroleum refiners in the United States and operates 15 refineries with a combined capacity of approximately 3.1 million barrels per day. Valero is also involved in the production and marketing of fuels and other petrochemical products. Additionally, the company is engaged in renewable energy initiatives, such as the production of ethanol and biodiesel. Valero Energy Corporation is known for its focus on refining and marketing, as well as its extensive retail network of branded gas stations across the United States, Canada, and the Caribbean."
Ford Motor,19,Motor Vehicles & Parts,Motor Vehicles & Parts,MI,Dearborn,50400,158057,1981,255884,173000,"Ford Motor Company is an American multinational automaker headquartered in Dearborn, Michigan. It was founded by Henry Ford on June 16, 1903. The company sells automobiles and commercial vehicles under the Ford brand and most luxury cars under the Lincoln brand. Ford also owns Brazilian SUV manufacturer Troller, an 8% stake in Aston Martin of the United Kingdom and a 32% stake in Jiangling Motors. It also has joint-ventures in China (Changan Ford), Taiwan (Ford Lio Ho), Thailand (AutoAlliance Thailand), Turkey (Ford Otosan), and Russia (Ford Sollers). Ford is the second-largest U.S.-based automaker (preceded by General Motors) and the fifth-largest in the world."
Home Depot,20,Specialty Retailers: Other,Retailing,GA,Atlanta,299534,157403,17105,76445,471600,"The Home Depot, Inc. is an American home improvement retail company that sells tools, construction products, and services. It operates many big-box format stores across the United States, as well as in Canada and Mexico. The company's stores offer a wide range of products for DIY home improvement projects, including appliances, tools, hardware, lumber, building materials, paint, plumbing, flooring, garden supplies, and more. Home Depot also provides installation services for various products sold in their stores."
General Motors,21,Motor Vehicles & Parts,Motor Vehicles & Parts,MI,Detroit,51155,156735,9934,264037,167000,"General Motors Company (GM) is an American multinational corporation that designs, manufactures, markets, and distributes vehicles and vehicle parts. It was founded in 1908 and has since grown to become one of the largest automakers in the world. GM produces a wide range of vehicles, including cars, trucks, and SUVs, under various brands such as Chevrolet, GMC, Buick, and Cadillac. The company also has a strong presence in electric vehicles through its Chevrolet Bolt EV and upcoming GMC Hummer EV models. GM has operations in over 30 countries and sells vehicles in more than 100 countries worldwide."
Elevance Health,22,Health Care: Insurance and Managed Care,Health Care,IN,Indianapolis,109098,156595,6025,102772,102300,"Elevance Health, Inc. is a health technology company focused on improving mental health and well-being. The company utilizes advanced data science and machine learning to create personalized digital solutions for individuals seeking mental health support. Elevance Health aims to provide accessible and effective tools to help individuals manage and improve their mental well-being."
JPMorgan Chase,23,Commercial Banks,Financials,NY,New York,383549,154792,37676,3665743,293723,"JPMorgan Chase & Co. is an American multinational investment bank and financial services holding company. It is considered one of the largest banks in the United States and a major player in the financial sector globally. JPMorgan Chase is a leading provider of various financial services, including investment banking, commercial banking, asset management, and private banking. The company has a significant presence in the United States and operates in over 100 countries worldwide. JPMorgan Chase was formed in 2000 through the merger of Chase Manhattan Corporation and J.P. Morgan & Co."
Kroger,24,Food & Drug Stores,Food & Drug Stores,OH,Cincinnati,35421,148258,2244,49623,430000,"Kroger is an American retail company founded in 1883 by Bernard Kroger. It is the largest supermarket chain by revenue and the second-largest general retailer in the United States. With over 2,800 stores across 31 states, Kroger operates under various banners, including Kroger, Fred Meyer, Ralphs, Harris Teeter, and more. In addition to traditional grocery items, Kroger also offers pharmacy services, fuel centers, and online shopping options. The company is known for its commitment to customer satisfaction, community involvement, and innovation in the retail industry."
Centene,25,Health Care: Insurance and Managed Care,Health Care,MO,St. Louis,34810,144547,1202,76870,74300,"Centene Corporation is a healthcare company that provides a portfolio of services to government-sponsored healthcare programs, focusing on under-insured and uninsured individuals. The company offers a range of healthcare solutions including health plans, specialty services, and managed care solutions through its various subsidiaries. Centene Corporation operates in multiple states in the United States and serves millions of members across its different healthcare programs. The company is known for its commitment to improving the healthcare outcomes of its members while controlling costs."
Verizon Communications,26,Telecommunications,Telecommunications,NY,New York,163333,136835,21256,379680,117100,"Verizon Communications Inc. is an American multinational telecommunications conglomerate and a corporate component of the Dow Jones Industrial Average. The company operates a vast network that provides a wide range of communication services, including wireless and wireline voice and data services, video and data services, and network solutions for businesses. Verizon is one of the largest telecommunications companies in the United States and serves millions of customers nationwide."
Walgreens Boots Alliance,27,Food & Drug Stores,Food & Drug Stores,IL,Deerfield,29836,132703,4337,90124,262500,"Walgreens Boots Alliance, Inc. is an American holding company that owns Walgreens, a chain of pharmacy stores, health and wellness services, and provides a variety of health and beauty products. The company was formed in December 2014 through the merger of Walgreen Company and Alliance Boots, a multinational pharmacy-led health and beauty group based in the United Kingdom. Walgreens Boots Alliance operates retail stores in various formats across the United States and internationally, offering pharmaceuticals, wellness products, and health-related services."
Fannie Mae,28,Diversified Financials,Financials,DC,Washington,475,121596,12923,4305288,8000,"The Federal National Mortgage Association (FNMA), commonly known as Fannie Mae, is a government-sponsored enterprise (GSE) that was established in 1938 to provide liquidity, stability, and affordability to the U.S. housing and mortgage markets. Fannie Mae does this by purchasing and guaranteeing mortgages, thereby allowing lenders to provide more affordable home loans to a wider range of borrowers. Fannie Mae plays a crucial role in the U.S. housing market by facilitating the flow of mortgage funds, promoting access to homeownership, and stabilizing the housing market during economic fluctuations."
Comcast,29,Telecommunications,Telecommunications,PA,Philadelphia,159831,121427,5370,257275,186000,"Comcast Corporation is an American telecommunications conglomerate that operates through three primary segments: Comcast Cable, NBCUniversal, and Sky. Comcast Cable is one of the largest providers of cable television, internet, and telephone services in the United States. NBCUniversal is a media and entertainment company that owns and operates a portfolio of television networks, film studios, and theme parks. Sky is a British media and telecommunications company that offers satellite television and broadband services. Comcast Corporation is known for its significant presence in the media and entertainment industry, as well as its expansive telecommunications infrastructure."
AT&T,30,Telecommunications,Telecommunications,TX,Dallas,137250,120741,8524,402853,160700,"AT&T Inc. is an American multinational conglomerate holding company that is the parent company of AT&T Communications, which is the largest provider of mobile and fixed telephone services in the United States. The company also offers broadband subscription television services through DirecTV. Additionally, AT&T operates the WarnerMedia subsidiary, which includes HBO, Turner Broadcasting System, and Warner Bros. The company is known for its telecommunications, media, and entertainment services, and it has a significant presence in the telecommunications industry worldwide."
Meta Platforms,31,Internet Services and Retailing,Technology,CA,Menlo Park,549484,116609,23200,185727,86482,"Meta Platforms, Inc. (formerly known as Facebook, Inc.) is an American multinational technology conglomerate based in Menlo Park, California. Founded by Mark Zuckerberg, along with his college roommates Andrew McCollum, Eduardo Saverin, Chris Hughes, and Dustin Moskovitz, the company was originally launched as TheFacebook on February 4, 2004. Meta Platforms is known for its social networking platform Facebook, as well as for acquiring other popular social media platforms such as Instagram, WhatsApp, and Oculus VR. The company's mission is to ""give people the power to build community and bring the world closer together."""
Bank of America,32,Commercial Banks,Financials,NC,Charlotte,228780,115053,27528,3051375,216823,"Bank of America Corporation is an American multinational investment bank and financial services company headquartered in Charlotte, North Carolina. It is one of the largest banks in the United States, offering a wide range of financial products and services, including consumer banking, wealth management, and investment banking. The company operates through various segments, including Consumer Banking, Global Wealth and Investment Management, Global Banking, Global Markets, and All Other. With a history dating back to 1904, Bank of America has grown to become a major player in the banking industry, serving millions of customers worldwide."
Target,33,General Merchandisers,Retailing,MN,Minneapolis,76250,109120,2780,53335,440000,"Target Corporation is an American retail corporation founded in 1902. It is the eighth-largest retailer in the United States, operating over 1,900 stores in North America. Target offers a wide range of products, including clothing, accessories, electronics, home goods, and groceries. The company is known for its trendy merchandise and collaborations with designers and brands. Target also operates an online store, offering customers the convenience of shopping from home."
Dell Technologies,34,"Computers, Office Equipment",Technology,TX,Round Rock,29402,102301,2442,89611,133000,"Dell Technologies Inc. is an American multinational technology company that develops, sells, repairs, and supports computers and related products and services. The company was founded by Michael Dell in 1984 and has grown to become one of the largest technology corporations in the world. Dell Technologies offers a wide range of products including personal computers, servers, data storage devices, network switches, software, and computer peripherals. The company is known for its direct sales model, which allows customers to customize their products and purchase directly from Dell."
Archer Daniels Midland,35,Food Production,"Food, Beverages & Tobacco",IL,Chicago,43530,101556,4340,59774,41181,"Archer Daniels Midland Company (ADM) is an American global food processing and commodities trading corporation. It was founded in 1902 and is one of the largest agricultural processors and food ingredient providers in the world. ADM operates through several business segments, including agriculture services, oilseeds processing, corn processing, and more. The company processes crops such as corn, oilseeds, wheat, and cocoa to create ingredients for food, animal feed, industrial, and energy uses. ADM also trades in commodities such as grains, oilseeds, wheat, and cocoa."
Citigroup,36,Commercial Banks,Financials,NY,New York,91270,101078,14845,2416676,238104,"Citigroup Inc. is an American multinational investment bank and financial services corporation. It was formed from one of the world's largest mergers in history when Citicorp merged with Travelers Group in 1998. Today, Citigroup operates in more than 160 countries and jurisdictions, offering a wide range of financial products and services including consumer banking, corporate and investment banking, securities brokerage, wealth management, and private banking."
UPS,37,"Mail, Package, and Freight Delivery",Transportation,GA,Atlanta,166189,100338,11548,71124,404700,"UPS, or United Parcel Service, is an American multinational package delivery and supply chain management company. It is one of the largest shipping and logistics companies in the world, providing a broad range of services including transportation, distribution, freight forwarding, and contract logistics. UPS is known for its distinctive brown delivery trucks and uniforms, as well as its extensive global network that reaches over 220 countries and territories. The company was founded in 1907 and has since grown to become a leader in the industry, delivering millions of packages every day to businesses and consumers worldwide."
Pfizer,38,Pharmaceuticals,Health Care,NY,New York,230292,100330,31372,197205,83000,"Pfizer Inc. is an American multinational pharmaceutical corporation that was founded in 1849. It is one of the world's largest pharmaceutical companies and operates globally, with a focus on developing and producing a wide range of medicines and vaccines. Pfizer is involved in research and development, manufacturing, and marketing of prescription medications across various therapeutic areas including immunology, oncology, cardiology, and neuroscience. The company has a long history of significant contributions to healthcare and is known for producing widely used medications such as Viagra, Lipitor, and Prevnar."
Lowe's,39,Specialty Retailers: Other,Retailing,NC,Mooresville,119253,97059,6437,43708,244500,"Lowe's Companies, Inc. is a home improvement retailer operating in the United States and Canada. The company was founded in 1921 and has since grown to become one of the largest home improvement retailers in North America. Lowe's offers a wide range of products for home improvement, renovation, maintenance, and repair, including appliances, tools, furniture, and building materials. The company operates both physical stores and an online platform, providing customers with convenient access to a wide selection of products for their home improvement needs."
Johnson & Johnson,40,Pharmaceuticals,Health Care,NJ,New Brunswick,483576,94943,17941,187378,152700,"Johnson & Johnson is an American multinational corporation that develops medical devices, pharmaceuticals, and consumer packaged goods. Founded in 1886, it is one of the largest healthcare companies in the world. The company's products range from medical devices used in surgeries and diagnostics to over-the-counter pharmaceuticals and personal care products. Johnson & Johnson has a presence in over 60 countries and has a strong focus on innovation and sustainability in the healthcare industry."
FedEx,41,"Mail, Package, and Freight Delivery",Transportation,TN,Memphis,57431,93512,3826,85994,464400,"FedEx Corporation is an American multinational conglomerate that focuses on providing a diverse range of transportation, e-commerce, and business services. The company was founded in 1971 and has grown to become a global leader in logistics, offering express shipping, freight services, and supply chain management solutions. FedEx is known for its distinctive overnight shipping service and innovative tracking technology, which revolutionized the industry. The company operates through various subsidiaries, including FedEx Express, FedEx Ground, FedEx Freight, FedEx Logistics, and FedEx Services, serving millions of customers worldwide. With a strong commitment to sustainability and corporate social responsibility, FedEx continues to expand its operations and capabilities to meet the evolving needs of the global marketplace."
Humana,42,Health Care: Insurance and Managed Care,Health Care,KY,Louisville,60719,92870,2806,43055,67100,"Humana Inc. is a for-profit American health insurance company based in Louisville, Kentucky. It offers a range of health insurance products and services, including medical, dental, vision, and pharmaceutical plans. Humana also provides wellness programs, Medicare plans, and Medicaid services. The company serves over 20 million customers across the United States and has a strong focus on promoting health and wellness through various initiatives and programs."
Energy Transfer,43,Pipelines,Energy,TX,Dallas,38590,89876,4756,105643,12565,"Energy Transfer LP is a company engaged in the natural gas and propane transportation and storage business. It is one of the largest and most diversified energy companies in the United States, with a portfolio of approximately 90,000 miles of pipelines and associated infrastructure. The company's operations also include natural gas midstream and intrastate transportation and storage, as well as natural gas liquids transportation and services. Energy Transfer LP serves various customers, including utility companies, electric power generators, and industrial companies."
Freddie Mac,45,Diversified Financials,Financials,VA,McLean,266,86717,9327,3208333,7819,"Freddie Mac, or the Federal Home Loan Mortgage Corporation, is a public government-sponsored enterprise (GSE) in the United States. It was established in 1970 to provide stability, liquidity, and affordability to the country's residential mortgage market. Freddie Mac purchases and guarantees mortgages originated by lenders, thereby allowing them to provide more funding to homebuyers. The company plays a vital role in the housing market by promoting homeownership and affordable housing."
PepsiCo,46,Food Consumer Products,"Food, Beverages & Tobacco",NY,Purchase,251085,86392,8910,92187,315000,"PepsiCo, Inc. is an American multinational corporation that operates in the food, snack, and beverage industries. The company was formed in 1965 through the merger of Pepsi-Cola and Frito-Lay and has since grown to become one of the largest food and beverage companies in the world. PepsiCo's product portfolio includes a wide range of popular brands such as Pepsi, Lay's, Gatorade, Tropicana, Quaker Oats, and Doritos. The company is known for its focus on innovation, sustainability, and corporate social responsibility."
Wells Fargo,47,Commercial Banks,Financials,CA,San Francisco,141188,82859,13182,1881016,238000,"Wells Fargo & Company is an American multinational financial services company that provides a wide range of banking, investment, mortgage, and consumer finance services. It is one of the largest banks in the United States, with operations worldwide. The company was founded in 1852 and has grown to become a major player in the financial services industry. Wells Fargo is known for its retail banking services, as well as its wealth management and investment banking businesses."
Walt Disney,48,Entertainment,Media,CA,Burbank,182920,82722,3145,203631,195800,"The Walt Disney Company, commonly known as Disney, is an American diversified multinational entertainment and media conglomerate headquartered in Burbank, California. It was originally founded on October 16, 1923, by Walt Disney and Roy O. Disney as the Disney Brothers Cartoon Studio; it also operated under the names The Walt Disney Studio and Walt Disney Productions before officially changing its name to The Walt Disney Company in 1986. The company is known for its film studio division, the Walt Disney Studios, which includes Walt Disney Pictures, Walt Disney Animation Studios, Pixar, Marvel Studios, Lucasfilm, 20th Century Fox, and Searchlight Pictures. Disney's other main divisions are Disney Media Networks, Disney Parks, Experiences and Products, and Disney Direct-to-Consumer & International."
ConocoPhillips,49,"Mining, Crude-Oil Production",Energy,TX,Houston,120777,82156,18680,93829,9500,"ConocoPhillips is an American multinational energy corporation engaged in hydrocarbon exploration. It is one of the world's largest independent exploration and production (E&P) companies. With operations in several countries, ConocoPhillips focuses on producing oil, natural gas, natural gas liquids, and bitumen. Additionally, the company is involved in refining, marketing, and transporting petroleum products. ConocoPhillips was formed through the merger of Conoco Inc. and Phillips Petroleum Company in 2002, and has since grown to become a significant player in the energy industry."
Tesla,50,Motor Vehicles & Parts,Motor Vehicles & Parts,TX,Austin,656425,81462,12556,82338,127855,"Tesla, Inc. is an American electric vehicle and clean energy company founded in 2003 by Martin Eberhard and Marc Tarpenning. The company is named after the famous inventor and electrical engineer Nikola Tesla. Tesla designs, manufactures, and sells electric cars, battery energy storage systems, and solar panels. It is known for its innovative electric vehicles, including the Tesla Roadster, Model S, Model 3, Model X, and Model Y. Tesla is also a major player in the development of autonomous driving technology and renewable energy solutions."
Procter & Gamble,51,Household and Personal Products,Household Products,OH,Cincinnati,350781,80187,14742,117208,106000,"Procter & Gamble (P&G) is a multinational consumer goods company that specializes in a wide range of personal care and household products. P&G was founded in 1837 by William Procter and James Gamble in the United States. The company has since grown to become one of the largest and most successful consumer goods companies in the world. P&G's product portfolio includes well-known brands such as Pampers, Tide, Gillette, Pantene, and Crest, among many others. The company is known for its focus on innovation, quality, and sustainability in its products."
General Electric,52,Industrial Machinery,Industrials,MA,Boston,104231,76555,225,187788,172000,"General Electric Company (GE) is an American multinational conglomerate corporation incorporated in New York. As of 2021, the company operates through a number of segments, including aviation, healthcare, power, renewable energy, digital industry, additive manufacturing, venture capital, and finance.
 
GE is one of the largest and most diversified industrial corporations in the world, with products ranging from aircraft engines, power generation, and water processing to medical imaging, business and consumer financing, media content, and industrial products. The company has a long history, tracing its roots back to inventor Thomas Edison, and has been a pioneer in numerous industries throughout its existence."
Albertsons,53,Food & Drug Stores,Food & Drug Stores,ID,Boise,11132,71887,1620,28123,195750,"Albertsons Companies, Inc. is an American grocery company founded and headquartered in the United States. It is one of the largest food and drug retailers in the country, with a strong presence in various states. The company operates a wide range of grocery store formats, including supermarkets, combination food and drug stores, and warehouse stores. Albertsons Companies also owns several well-known retail brands, each offering a variety of products and services to customers. The company is focused on providing quality and convenient shopping experiences for consumers across its diverse portfolio of stores."
MetLife,54,"Insurance: Life, Health (Stock)",Financials,NY,New York,44867,69898,2539,666611,45000,"MetLife, Inc. is a leading global provider of insurance, annuities, and employee benefit programs. It was founded in 1868 and has since grown to become one of the largest insurance companies in the world. MetLife operates in over 60 countries and serves more than 90 million customers worldwide. The company offers a wide range of insurance products, including life insurance, disability income insurance, and dental insurance, as well as retirement and savings solutions. MetLife is known for its strong commitment to innovation, customer service, and financial stability."
Goldman Sachs Group,55,Commercial Banks,Financials,NY,New York,113964,68711,11261,1441799,48500,"The Goldman Sachs Group, Inc. is an American multinational investment bank and financial services company. It offers a range of financial services, including investment banking, asset management, securities, and other financial services primarily to institutional clients. Goldman Sachs is known for its involvement in global financial markets and its role as a primary dealer in the U.S. Treasury securities market. The company was founded in 1869 and has grown to become one of the leading financial institutions in the world."
Sysco,56,Wholesalers: Food and Grocery,Wholesalers,TX,Houston,39202,68636,1359,22086,70510,"Sysco Corporation is an American multinational corporation involved in marketing and distributing food products, smallwares, kitchen equipment, and tabletop items to restaurants, healthcare and educational facilities, hospitality businesses, and other institutional customers. With over 57,000 employees, Sysco is one of the largest foodservice distributors in the United States. The company operates approximately 330 distribution facilities worldwide and serves over 600,000 customer locations. Sysco was founded in 1969 and has grown to become a prominent player in the foodservice industry."
Raytheon Technologies,57,Aerospace & Defense,Aerospace & Defense,VA,Arlington,143292,67074,5197,158864,182000,"Raytheon Technologies Corporation is an American multinational aerospace and defense technology company formed in 2020 through the merger of Raytheon Company and United Technologies Corporation. The company operates in four key segments: Collins Aerospace, Pratt & Whitney, Raytheon Intelligence & Space, and Raytheon Missiles & Defense. Raytheon Technologies is a leading producer of advanced technologies in areas such as aircraft engines, avionics, cybersecurity, missiles, and air defense systems. The company is a major supplier to the U.S. Department of Defense and international defense forces."
Boeing,58,Aerospace & Defense,Aerospace & Defense,VA,Arlington,127283,66608,4935,137100,156000,"Boeing is an American multinational corporation that designs, manufactures, and sells airplanes, rotorcraft, rockets, satellites, telecommunications equipment, and missiles worldwide. The company also provides leasing and product support services. Boeing is among the largest global aerospace manufacturers and is the second-largest defense contractor in the world based on revenue."
StoneX Group,59,Diversified Financials,Financials,NY,New York,2138,66036,207,19860,3615,"StoneX Group Inc., formerly known as INTL FCStone Inc., is a financial services firm that provides institutional clients with a wide range of financial services including trade execution, clearing, and advisory services across asset classes. The company's services include commodity trading, foreign exchange, securities, and wealth management. StoneX Group Inc. serves clients in more than 130 countries and has a global presence in major financial centers. The company was founded in 1924 and has since grown to become a leading provider of financial services to institutional clients worldwide."
Lockheed Martin,60,Aerospace & Defense,Aerospace & Defense,MD,Bethesda,120319,65984,5732,52880,116000,"Lockheed Martin Corporation is an American aerospace, defense, arms, security, and advanced technologies company with worldwide interests. It was formed by the merger of Lockheed Corporation with Martin Marietta in March 1995. The company is engaged in the research, design, development, manufacture, integration, and sustainment of advanced technology systems, products, and services. Lockheed Martin operates in four primary business segments: Aeronautics, Missiles and Fire Control, Rotary and Mission Systems, and Space. The company is known for its involvement in designing and producing military aircraft, such as the F-16 Fighting Falcon, F-22 Raptor, F-35 Lightning II, and more. Additionally, Lockheed Martin plays a crucial role in various space exploration projects and national defense initiatives."
Morgan Stanley,61,Commercial Banks,Financials,NY,New York,147674,65936,11029,1180231,82427,"Morgan Stanley is an American multinational investment bank and financial services company. It offers a range of financial services including investment banking, securities trading, wealth management, and asset management. The company serves corporations, governments, institutions, and individuals around the world. Morgan Stanley is known for its prominent role in mergers and acquisitions, and is considered one of the leading investment banks globally."
Intel,62,Semiconductors and Other Electronic Components,Technology,CA,Santa Clara,136268,63054,8014,182103,131900,"Intel Corporation is an American multinational corporation and technology company that is known for designing and manufacturing semiconductor chips and other technology products. Founded in 1968, Intel is one of the world's largest and highest-valued semiconductor chip makers, based on revenue. The company's products are used in a wide range of applications, including computer systems, smartphones, tablets, data centers, and various other electronic devices. Intel is also a leading player in the development of technologies such as artificial intelligence, autonomous driving, and 5G connectivity."
